cells,celltype
SM.D9EOU_S30_E1.50,MP
SM.D9EOU_S33_E1.50,MP
SM.D9EOU_S34_E1.50,MP
SM.D9EOU_S35_E1.50,MP
SM.D9EOU_S36_E1.50,MP
SM.D9EOU_S37_E1.50,MP
SM.D9EOU_S39_E1.50,MP
SM.D9EOU_S41_E1.50,GABA2
SM.D9EOU_S42_E1.50,GABA1
SM.D9EOU_S43_E1.50,MP
SM.D9EOU_S44_E1.50,MP
SM.D9EOU_S47_E1.50,MP
SM.D9EOU_S49_E1.50,MP
SM.D9EOU_S50_E1.50,MP
SM.D9EOU_S51_E1.50,MP
SM.D9EOU_S52_E1.50,MP
SM.D9EOU_S53_E1.50,MP
SM.D9EOU_S54_E1.50,MP
SM.D9EOU_S55_E1.50,MP
SM.D9EOU_S57_E1.50,MP
SM.D9EOU_S58_E1.50,MP
SM.D9EOU_S59_E1.50,MP
SM.D9EOU_S60_E1.50,MP
SM.D9EOU_S61_E1.50,MP
SM.D9EOU_S62_E1.50,MP
SM.D9EOU_S63_E1.50,MP
SM.D9EOU_S73_E1.50,MP
SM.D9EOU_S74_E1.50,MP
SM.D9EOU_S75_E1.50,MP
SM.D9EOU_S76_E1.50,MP
SM.D9EOU_S77_E1.50,MP
SM.D9EOU_S78_E1.50,MP
SM.D9EOU_S79_E1.50,MP
SM.D9EOV_S25_E1.50,MP
SM.D9EOV_S27_E1.50,MP
SM.D9EOV_S28_E1.50,MP
SM.D9EOV_S29_E1.50,MP
SM.D9EOV_S30_E1.50,MP
SM.D9EOV_S31_E1.50,MP
SM.D9EOV_S33_E1.50,K
SM.D9EOV_S34_E1.50,MP
SM.D9EOV_S35_E1.50,MP
SM.D9EOV_S36_E1.50,MP
SM.D9EOV_S37_E1.50,MP
SM.D9EOV_S38_E1.50,MP
SM.D9EOV_S39_E1.50,K
SM.D9EOV_S41_E1.50,MP
SM.D9EOV_S42_E1.50,MP
SM.D9EOV_S43_E1.50,MP
SM.D9EOV_S44_E1.50,K
SM.D9EOV_S45_E1.50,MP
SM.D9EOV_S46_E1.50,MP
SM.D9EOV_S47_E1.50,MP
SM.D9EOV_S49_E1.50,MP
SM.D9EOV_S50_E1.50,MP
SM.D9EOV_S51_E1.50,MP
SM.D9EOV_S53_E1.50,MP
SM.D9EOV_S54_E1.50,MP
SM.D9EOV_S55_E1.50,MP
SM.D9EOV_S57_E1.50,MP
SM.D9EOV_S58_E1.50,MP
SM.D9EOV_S59_E1.50,MP
SM.D9EOV_S60_E1.50,MP
SM.D9EOV_S61_E1.50,MP
SM.D9EOV_S62_E1.50,MP
SM.D9EOV_S63_E1.50,MP
SM.D9EOV_S65_E1.50,MP
SM.D9EOV_S66_E1.50,MP
SM.D9EOV_S67_E1.50,MP
SM.D9EOV_S68_E1.50,MP
SM.D9EOV_S69_E1.50,MP
